filename,extreme_min0,extreme_min1,extreme_min2,extreme_min3,extreme_min4,extreme_min5,extreme_min6,extreme_min7,extreme_min8,extreme_min9,extreme_min10,extreme_min11,extreme_min12,extreme_min13,extreme_min14,extreme_min15,extreme_min16,extreme_min17,extreme_min18,extreme_min19,extreme_max0,extreme_max1,extreme_max2,extreme_max3,extreme_max4,extreme_max5,extreme_max6,extreme_max7,extreme_max8,extreme_max9,extreme_max10,extreme_max11,extreme_max12,extreme_max13,extreme_max14,extreme_max15,extreme_max16,extreme_max17,extreme_max18,extreme_max19,label
/training-b/b0001.wav/1,74796,51422,31783,69773,86617,94553,91081,42014,58574,27422,37717,64133,107079,7145,80648,11923,19238,99768,680,,210,108675,52053,64998,102474,22016,33470,47085,58923,5980,29313,12517,79254,85092,98099,73579,39757,90297,,,1
/training-b/b0002.wav/1,71202,52491,108828,35132,59099,14327,27914,88699,43624,40097,23789,76811,103459,9893,96653,292,63351,,,,44293,64316,77344,34362,22567,38114,1270,95275,71620,29887,88873,107645,58604,51461,14027,,,,,,1
/training-b/b0003.wav/1,93208,103608,5006,40680,35323,8339,74065,83092,50607,58797,55082,13597,31725,22380,27213,65167,78306,87470,,,16590,42274,46265,61314,57482,109064,67921,38131,82390,30882,73701,27525,52736,4579,105205,10505,92844,,,,1
/training-b/b0004.wav/1,38620,96561,80702,57907,100966,84399,76974,106716,64989,26543,53009,10941,45658,7006,18547,71939,2769,,,,13427,110249,8695,0,85768,44401,68378,91793,105259,49507,78160,21270,27439,59119,97730,37969,,,,,1
/training-b/b0005.wav/1,50847,34469,41569,8691,70216,3695,16404,12749,28806,77406,105859,59553,88246,46551,21950,95502,100461,110234,,,100351,82262,77123,95351,41321,72989,55623,37844,110249,0,87407,59419,105035,5445,23346,69379,9894,15621,33613,50765,1
/training-b/b0006.wav/1,70896,102212,55012,61034,39444,9577,45627,30586,86671,92113,24189,107374,15667,81866,65909,,,,,,372,108595,14852,45409,51298,97628,82648,61696,30058,77543,91793,55291,9210,102469,71171,86920,24439,39728,,,1
/training-b/b0007.wav/1,80892,71360,59987,105832,43109,75553,9807,96701,91499,20382,100777,84549,32647,2390,15844,50399,87953,37190,54575,27116,18787,98124,23566,34250,94654,110249,6446,58909,103078,0,64498,39451,50035,30585,12597,70184,78140,88501,,,1
/training-b/b0009.wav/1,8773,49180,29121,87693,66167,16410,56726,96389,79319,60292,36824,108853,4399,72682,,,,,,,104279,80578,23661,73777,2270,95995,55639,15457,36343,109231,88023,68029,28344,48324,8364,,,,,,1
/training-b/b0010.wav/1,1548,56926,86184,26648,6465,35383,97252,22120,51586,16226,107764,75145,39875,102514,12567,44702,,,,,104928,100081,9894,40927,108621,71841,34820,13627,46395,75948,64932,92389,27896,56415,87105,2317,,,,,1
/training-b/b0011.wav/1,65960,41534,46530,9983,5649,35284,20321,52226,91721,79000,28535,85622,106268,99612,,,,,,,109928,93150,99344,104970,13689,78741,52001,83474,25175,20765,89569,6404,73324,44056,65690,34376,,,,,1
/training-b/b0012.wav/1,40344,65724,2762,30050,108339,94958,86282,74296,44658,19143,49718,25924,98943,12807,78523,58067,,,,,74432,91500,0,48249,95432,104455,85926,21124,11464,33952,109239,53032,27349,66225,40397,,,,,,1
/training-b/b0014.wav/1,98556,73065,53675,76978,21016,27389,1831,46602,89274,83605,15971,107197,60945,103012,6042,31875,42633,36767,,,110249,8737,40294,64569,30838,93217,59889,85219,46043,26949,20634,53283,14855,99763,1415,80152,105112,72333,,,1
/training-b/b0015.wav/1,23748,11627,99471,36317,74384,57279,20142,16812,92439,87068,1353,107791,67903,40905,81402,61516,30394,47993,,,94515,86494,2575,64743,80094,41981,59844,109414,49371,12057,74778,36724,100230,24415,,,,,,,1
/training-b/b0017.wav/1,46694,106508,66465,8282,52527,24432,74604,95526,28464,58040,86611,19240,41349,35032,3634,79626,,,,,0,40541,23485,53224,16735,78542,7006,91430,27595,47588,107849,31107,85532,65112,,,,,,,1
/training-b/b0019.wav/1,55882,62105,41899,24068,74864,88063,97948,35644,103989,67653,12581,7897,18956,45671,1197,,,,,,61252,92103,2353,69639,29026,79837,23382,33100,48656,109997,6584,74203,43231,36726,99101,55216,15223,,,,1
/training-b/b0020.wav/1,46693,107800,23357,65643,38686,83235,76128,15087,95703,2691,30151,53562,7722,61154,99996,,,,,,67593,35424,29163,15659,103996,72090,93221,77474,1308,84272,39167,110049,10144,24476,58881,5201,46134,50480,,,1
/training-b/b0021.wav/1,81625,64306,11572,29085,35674,105870,18182,44116,99190,54526,3870,22031,88199,59384,77642,50867,73440,,,,74924,70465,61096,574,99565,18612,105670,53227,29480,41275,23432,11938,47258,87988,35474,82079,64772,,,,1
/training-b/b0024.wav/1,3421,10706,87280,66318,24643,60744,55611,46651,19259,93223,41897,75047,36882,107452,78880,,,,,,23519,99799,80370,76950,37803,65901,43658,91645,86829,27798,62293,107115,48172,72995,34006,16760,53363,1160,12119,8177,1
/training-b/b0025.wav/1,54650,77233,45266,70321,3227,22825,10125,92633,98844,102747,32004,36791,83887,87542,,,,,,,41277,105686,85782,76900,80371,36016,15002,63585,110249,9837,52960,2178,45077,92389,22961,100160,31757,69291,,,1
/training-b/b0026.wav/1,57941,90103,10184,44170,106226,21557,26074,4703,73839,84493,37364,53544,32644,16707,855,64617,98553,,,,20621,32306,36480,85599,81099,64207,15434,47465,1228,97344,73586,105825,25687,89740,9790,57509,41507,,,,1
/training-b/b0027.wav/1,60286,107406,36832,25027,71265,93029,83470,17101,12507,55348,2375,102630,46399,31864,,,,,,,34551,9484,30335,50980,99962,66760,2843,59151,14176,91879,46120,78051,106311,24617,38532,83815,,,,,1
/training-b/b0028.wav/1,106141,25125,5366,51913,65089,93512,45097,13487,110234,32091,71976,87491,57834,19797,79413,98582,,,,,12781,100830,80445,59880,53771,17808,36557,91168,74180,5721,24406,84454,44085,64127,105559,,,,,,1
/training-b/b0029.wav/1,74549,36158,59121,21983,13856,91291,96294,40864,104237,80655,66491,3497,71230,49731,109009,87479,,,,,64959,23215,43492,34384,17239,7352,696,110162,92190,58620,12061,81142,103745,74500,,,,,,,1
/training-b/b0031.wav/1,62195,13915,195,34870,73892,53945,104861,29006,81161,40278,20868,67633,95036,87470,43692,6872,108927,25166,47555,99745,108424,89873,54365,33184,1011,102939,68108,82555,22365,95430,17641,47960,12877,26648,40704,7354,76176,62637,,,1
/training-b/b0034.wav/1,40044,92154,78727,67402,12070,50183,45890,83769,59706,24762,98023,110234,3593,29601,19895,36206,73240,87158,,,987,51199,31735,108139,66622,43477,70356,84587,103897,23419,55519,5523,28108,19693,60245,12648,93035,,,,1
/training-b/b0035.wav/1,93561,49567,27797,17687,71014,86937,101218,43881,77699,61677,40162,6651,10410,110235,,,,,,,15946,107893,63792,40892,98610,3100,20140,57067,52830,89286,81773,11087,33088,49131,72926,27310,93144,,,,1
/training-b/b0036.wav/1,21978,109221,5059,38378,57361,10151,73942,91433,15641,96843,67372,62401,101693,49486,,,,,,,264,83794,50554,66137,97224,102477,44814,91286,56208,28266,12191,73039,108288,38654,21628,4716,,,,,1
/training-b/b0038.wav/1,91333,78759,99570,84659,22470,53097,7511,68845,44956,75073,107243,30358,12100,58893,39540,2082,,,,,10629,41006,15198,52974,61667,34967,56800,102833,99292,30145,82163,110249,83,67198,7117,92385,74879,22310,45246,,1
/training-b/b0039.wav/1,74204,93014,53790,37112,17268,97955,5645,45267,60466,80110,1488,109397,9234,89460,23559,31103,86136,105680,,,13385,5890,63588,84853,60256,102961,72656,17478,69302,96029,53971,42482,110237,78803,23909,180,35487,91789,,,1
/training-b/b0042.wav/1,3327,6869,46347,31050,60815,103812,75202,15500,38277,81279,67285,110234,89439,96734,54284,24128,,,,,40365,69570,80773,104496,55331,88828,74494,22639,16958,45550,5327,32754,59962,109056,1438,,,,,,1
/training-b/b0044.wav/1,81087,41779,58696,75690,368,67692,48509,24868,93193,10907,31594,14957,19914,53984,101241,107125,97772,,,,102238,88215,66588,11623,70816,5439,15347,109012,41391,92809,52019,82986,75350,26281,58331,,,,,,1
/training-b/b0045.wav/1,3728,76385,85008,99371,64083,92688,41322,23794,15301,56077,103624,8592,35404,45021,31454,70827,107281,80577,50312,,60186,56653,35940,71587,43067,24528,11925,17826,65732,100934,97265,52266,108050,6672,84441,76587,726,28488,,,1
/training-b/b0047.wav/1,6451,89376,22808,77949,12685,40164,110234,95134,104489,45860,61475,56813,72570,53433,99114,66248,82521,,,,50553,109938,83343,98671,28381,31758,45605,13267,94032,23002,72847,56358,77676,6840,104726,40497,88996,,,,1
/training-b/b0049.wav/1,10080,99939,77214,84034,54713,61530,32553,106666,72356,27632,13883,89866,42315,21723,36725,65359,47655,1912,,,274,48905,44904,70476,26339,94913,55205,76673,17279,107090,9533,99372,32018,39629,61916,84449,,,,,1
/training-b/b0050.wav/1,32730,72171,43433,98600,110234,26865,90595,54456,20684,61501,66022,47691,82032,12888,5013,9404,1087,78202,,,85466,78834,104038,65079,20194,51654,42046,3448,26179,46839,32190,58543,6760,12375,98028,71682,90309,109737,,,1
/training-b/b0051.wav/1,56222,103218,41431,72171,26256,31971,62384,92083,10458,16446,2014,108680,87654,46542,51922,,,,,,79269,91848,21304,61172,31290,17056,46277,72009,87502,107212,25893,102886,10777,56549,41241,,,,,,1
/training-b/b0052.wav/1,68093,30117,106582,86839,49253,18396,11069,56930,36602,81405,75895,94999,5532,41658,,,,,,,42306,22163,63060,56224,93165,73945,4617,105825,10184,17476,29367,37043,49644,67437,86411,,,,,,1
/training-b/b0053.wav/1,67747,505,87349,99802,23218,57909,5613,17268,48570,28488,79901,33431,9161,94800,108655,41254,73210,62141,,,93785,109713,103039,81892,51152,63574,2517,59967,72119,10060,67263,30058,40390,20835,98603,87732,,,,,1
/training-b/b0055.wav/1,41299,60880,100597,17285,107026,75530,79582,7672,48213,55754,88743,30543,3192,95763,33899,24826,67781,,,,8793,92593,28188,87353,97225,47995,110249,67588,57518,61275,77045,103216,40934,21328,81592,1913,,,,,1
/training-b/b0056.wav/1,47525,98179,9595,65396,3573,32512,41057,61126,90228,53705,21252,75571,25313,83525,103400,110073,79610,,,,101730,36297,85506,81991,42484,110249,7057,20684,63717,97449,24165,77644,68224,89719,58929,2170,31834,46344,,,1
/training-b/b0058.wav/1,52470,70511,77543,93884,41323,98059,101474,19648,34419,9457,57823,105896,3159,61378,81843,85880,,,,,82781,3497,65821,26276,70073,75347,20514,40717,51841,100172,44723,104136,11637,94601,,,,,,,1
/training-b/b0059.wav/1,35216,50121,5542,103485,90367,30503,23726,110234,18784,63723,70542,43652,10633,81123,14815,57984,98449,94790,,,69231,55125,0,30287,74337,62788,13533,110037,93229,44000,24040,4202,83886,103823,35289,50190,,,,,1
/training-b/b0060.wav/1,13589,98222,34208,77166,55462,71929,83627,62031,102878,22947,42396,18154,46915,88736,50894,108015,27565,5366,1264,,4445,465,69741,83246,23974,90794,109131,103922,40431,19571,61651,33901,76856,97881,55144,13249,,,,,1
/training-b/b0061.wav/1,80573,93907,9058,72036,37660,23229,44288,85386,98970,29928,63783,59997,50776,109264,4993,16888,55976,103251,,,110249,92910,2222,45962,18193,25205,73845,105968,82067,97675,67867,14525,31748,87076,54202,7699,39185,62570,,,1
/training-b/b0062.wav/1,67042,48257,28303,108573,13739,93858,1561,76455,54212,86117,36471,24209,5666,99007,20740,62866,,,,,108147,42089,63749,78119,6901,74829,100176,33849,17774,27474,92503,572,51884,69223,85221,,,,,,1
/training-b/b0064.wav/1,98549,25531,62388,33657,8436,43930,69740,86983,80545,2173,51483,76526,107761,15062,37796,,,,,,20134,36099,72687,27489,1383,42580,109140,98251,87670,32095,62074,80188,68839,104800,50444,14109,7164,,,,1
/training-b/b0065.wav/1,79001,66411,2253,16207,45992,41032,7192,98555,53869,71318,11490,23632,58617,92559,108054,29098,50193,82695,87611,34923,10238,63280,19227,48311,86934,41603,70555,76051,104974,28687,15765,92196,79527,54304,2688,66881,,,,,1
/training-b/b0066.wav/1,73192,93917,10784,52189,31301,86250,76728,101232,20054,43410,106507,37814,61794,65208,,,,,,,21127,45330,6254,102339,106421,68679,41591,37133,89423,79175,17372,59067,110249,0,51075,30491,73579,26928,9963,93113,1
/training-b/b0067.wav/1,97908,93915,72479,50133,87285,7276,30023,56524,11192,65840,41256,105638,81327,20439,109818,,,,,,22096,60799,84000,77447,13368,45092,107102,68097,73729,89812,49634,36475,93436,27841,98142,6793,,,,,1
